scientific_name;french_name;group_fr;IUCN;english_name;group_en;Guinea;Liberia;Cote_Ivoire;inaturalist
Amphibien sp.;Amphibien sp.;Autre;NA;Amphibian sp.;Other;y;y;y;
Aonyx capensis;Loutre a joues blanches;Carnivore;NT;African clawless otter;Carnivore;y;y;y;https://www.inaturalist.org/taxa/1638841
Araignee sp.;Araignee sp.;Autre;NA;Spider sp.;Other;y;y;y;
Atelerix albiventris;Herisson a ventre blanc;Erinaceomorphe;LC;Four-toed hedgehog;Hedgehog;y;y;y;https://www.inaturalist.org/taxa/43055
Atherurus africanus;Atherure africain;Rongeur;LC;African brush-tailed porcupine;Rodent;y;y;y;https://www.inaturalist.org/taxa/44181
Atilax paludinosus;Mangouste des marais;Carnivore;LC;Marsh Mongoose;Carnivore;y;y;y;https://www.inaturalist.org/taxa/41919
Bos taurus;Vache;Domestique;NA;Cow;Domestic;y;y;y;https://www.inaturalist.org/taxa/74113
Bovide sp.;Bovide sp.;Bovide;NA;Bovid sp.;Bovid;y;y;y;
Canis familiaris;Chien domestique;Domestique;NA;Domestic dog;Domestic;y;y;y;https://www.inaturalist.org/taxa/47144
Capra sp.;Chevre;Domestique;NA;Goat;Domestic;y;y;y;
Caracal aurata;Chat dore;Carnivore;VU;African golden cat;Carnivore;y;y;y;https://www.inaturalist.org/taxa/74146
Caracal caracal;Caracal;Carnivore;LC;Caracal;Carnivore;y;y;y;https://www.inaturalist.org/taxa/42042
Cephalophus dorsalis;Cephalophe a bande dorsale noire;Bovide;NT;Bay duiker;Bovid;y;y;y;https://www.inaturalist.org/taxa/42302
Cephalophus jentinki;Cephalophe de Jentink;Bovide;EN;Jentink's duiker;Bovid;n;y;y;https://www.inaturalist.org/taxa/42296
Cephalophus niger;Cephalophe noir;Bovide;LC;Black duiker;Bovid;y;y;y;https://www.inaturalist.org/taxa/1431001
Cephalophus ogilbyi brookei;Cephalophe de Brooke;Bovide;VU;Brooke's duiker;Bovid;n;y;y;https://www.inaturalist.org/taxa/1431006
Cephalophus rufilatus;Cephalophe a flancs roux;Bovide;LC;Red-flanked duiker;Bovid;y;y;y;https://www.inaturalist.org/taxa/1430997
Cephalophus silvicultor;Cephalophe a dos jaune;Bovide;NT;Yellow-backed duiker;Bovid;y;y;y;https://www.inaturalist.org/taxa/42294
Cephalophus sp.;Cephalophe sp.;Bovide;NA;Duiker sp.;Bovid;y;y;y;
Cephalophus zebra;Cephalophe zebre;Bovide;VU;Zebra duiker;Bovid;n;y;y;https://www.inaturalist.org/taxa/1431322
Cercocebus atys;Cercocebe fuligineux;Primate;VU;Sooty mangabey;Primate;y;y;y;https://www.inaturalist.org/taxa/566523
Cercopithecus campbelli;Mone de Campbell;Primate;NT;Campbell's monkey;Primate;y;y;y;https://www.inaturalist.org/taxa/566529
Cercopithecus diana;Cercopitheque diane;Primate;EN;Diana monkey;Primate;n;y;y;https://www.inaturalist.org/taxa/566530
Cercopithecus nictitans stampflii;Cercopitheque hocheur;Primate;EN;Stampfli's putty-nosed monkey;Primate;n;y;y;
Cercopithecus petaurista;Cercopitheque blanc-nez;Primate;NT;Spot-nosed monkey;Primate;y;y;y;https://www.inaturalist.org/taxa/43488
Chiroptere sp.;Chauve-souris sp.;Chiroptere;NA;Bat sp.;Bat;y;y;y;
Chlorocebus sabaeus;Vervet vert;Primate;LC;Green monkey;Primate;y;n;n;https://www.inaturalist.org/taxa/74190
Choeropsis liberiensis;Hippopotame pygmee;Hippopotamide;EN;Pygmy hippopotamus;Hippopotamus;n;y;y;https://www.inaturalist.org/taxa/74192
Civettictis civetta;Civette africaine;Carnivore;LC;African civet;Carnivore;y;y;y;https://www.inaturalist.org/taxa/41627
Colobus polykomos;Colobe blanc-noir;Primate;EN;King colobus;Primate;y;y;y;https://www.inaturalist.org/taxa/43526
Cricetome sp.;Cricetome sp.;Rongeur;NA;Giant pouched rat sp.;Rodent;y;y;y;
Cricetomys emini;Cricetome de foret;Rongeur;LC;Forest giant pouched rat;Rodent;n;y;y;https://www.inaturalist.org/taxa/44513
Cricetomys gambianus;Rat geant de Gambie;Rongeur;LC;Northern giant pouch rat;Rodent;y;y;y;https://www.inaturalist.org/taxa/44512
Crocodile sp.;Crocodile sp.;Reptile;NA;Crocodile sp.;Reptile;y;y;y;
Crocuta crocuta;Hyene tachetee;Carnivore;LC;Spotted hyena;Carnivore;y;n;n;https://www.inaturalist.org/taxa/41886
Crossarchus obscurus;Mangouste brune;Carnivore;LC;Common kusimanse;Carnivore;y;y;y;https://www.inaturalist.org/taxa/41913
Dendrohyrax dorsalis;Daman d'arbre;Autre;NA;Western tree hyrax;Other;n;y;y;https://www.inaturalist.org/taxa/43093
Ecureuil sp.;Ecureuil sp.;Rongeur;NA;Squirrel sp.;Rodent;y;y;y;
Epixerus ebii;Ecureuil d'Ebi;Rongeur;LC;Western palm squirrel;Rodent;n;y;y;https://www.inaturalist.org/taxa/46247
Erythrocebus patas;Patas;Primate;NT;Patas monkey;Primate;y;n;n;https://www.inaturalist.org/taxa/43462
Felin sp.;Felin sp.;Carnivore;NA;Unidentified feline;Carnivore;y;y;y;
Funisciurus pyrropus;Funisciure a pattes rousses;Rongeur;LC;Fire-footed rope squirrel;Rodent;y;y;y;https://www.inaturalist.org/taxa/45957
Galago senegalensis;Galago du Senegal;Primate;LC;Northern lesser galago;Primate;y;n;n;https://www.inaturalist.org/taxa/43565
Galago sp.;Galago sp.;Primate;NA;Galago sp.;Primate;y;y;y;
Galagoides demidoff;Galago de Demidoff;Primate;LC;Demidoff's dwarf galago;Primate;n;y;y;https://www.inaturalist.org/taxa/566537
Galagoides thomasi;Galago de Thomas;Primate;LC;Thomas's dwarf galago;Primate;y;y;y;https://www.inaturalist.org/taxa/74349
Genetta bourloni;Genette de Bourlon;Carnivore;VU;Bourlon's genet;Carnivore;n;y;y;https://www.inaturalist.org/taxa/74353
Genetta genetta;Genette commune;Carnivore;LC;Common genet;Carnivore;y;y;y;https://www.inaturalist.org/taxa/925661
Genetta johnstoni;Genette de Johnston;Carnivore;NT;Johnston's genet;Carnivore;n;y;y;https://www.inaturalist.org/taxa/41598
Genetta pardina;Genette pardine;Carnivore;NT;Pardine genet;Carnivore;y;y;y;https://www.inaturalist.org/taxa/74355
Genetta sp.;Genette sp.;Carnivore;NA;Genet sp.;Carnivore;y;y;y;
